"날짜","종가","시가","고가","저가","거래량","변동 %"
"2014- 08- 25","2,060.89","2,049.16","2,062.23","2,044.20","272.04M","0.20%"
"2014- 08- 22","2,056.70","2,048.24","2,058.46","2,046.54","277.86M","0.61%"
"2014- 08- 21","2,044.21","2,067.63","2,068.22","2,041.91","307.80M","-1.38%"
"2014- 08- 20","2,072.78","2,080.77","2,082.21","2,063.61","315.36M","0.08%"
"2014- 08- 19","2,071.14","2,065.19","2,074.43","2,064.34","327.12M","0.88%"
"2014- 08- 18","2,053.13","2,070.95","2,073.05","2,053.13","300.42M","-0.49%"
"2014- 08- 14","2,063.22","2,065.69","2,073.42","2,056.06","270.85M","0.04%"
"2014- 08- 13","2,062.36","2,046.68","2,062.36","2,043.11","280.66M","1.02%"
"2014- 08- 12","2,041.47","2,048.39","2,055.85","2,038.14","312.80M","0.10%"
"2014- 08- 11","2,039.37","2,048.18","2,048.18","2,037.80","285.84M","0.41%"
"2014- 08- 08","2,031.10","2,049.51","2,051.06","2,026.56","354.82M","-1.14%"
"2014- 08- 07","2,054.51","2,062.24","2,063.53","2,047.75","292.94M","-0.30%"
"2014- 08- 06","2,060.73","2,062.93","2,068.08","2,055.68","377.27M","-0.27%"
"2014- 08- 05","2,066.26","2,076.17","2,077.73","2,058.92","346.82M","-0.68%"
"2014- 08- 04","2,080.42","2,080.77","2,083.05","2,067.17","253.20M","0.35%"
"2014- 08- 01","2,073.10","2,063.71","2,079.81","2,062.54","271.97M","-0.15%"
"2014- 07- 31","2,076.12","2,081.75","2,090.57","2,070.78","383.73M","-0.31%"
"2014- 07- 30","2,082.61","2,064.47","2,093.08","2,062.88","343.29M","1.00%"
"2014- 07- 29","2,061.97","2,054.03","2,065.96","2,053.41","408.77M","0.64%"
"2014- 07- 28","2,048.81","2,035.96","2,053.84","2,035.96","349.02M","0.74%"
"2014- 07- 25","2,033.85","2,030.04","2,036.20","2,027.33","282.77M","0.36%"
"2014- 07- 24","2,026.62","2,032.94","2,034.72","2,021.22","323.59M","-0.08%"
"2014- 07- 23","2,028.32","2,032.73","2,035.24","2,025.00","353.51M","-0.03%"
"2014- 07- 22","2,028.93","2,021.18","2,028.93","2,017.76","265.89M","0.52%"
"2014- 07- 21","2,018.50","2,028.02","2,030.61","2,016.42","274.63M","-0.05%"
"2014- 07- 18","2,019.42","2,007.12","2,019.42","2,006.01","304.52M","-0.07%"
"2014- 07- 17","2,020.90","2,020.52","2,025.41","2,018.77","322.70M","0.37%"
"2014- 07- 16","2,013.48","2,015.67","2,018.05","2,008.99","315.17M","0.04%"
"2014- 07- 15","2,012.72","2,004.93","2,015.54","2,004.49","361.20M","0.94%"
"2014- 07- 14","1,993.88","1,998.26","2,001.11","1,993.57","270.39M","0.26%"
"2014- 07- 11","1,988.74","1,988.93","1,993.46","1,985.53","277.02M","-0.70%"
"2014- 07- 10","2,002.84","2,004.63","2,006.50","1,999.96","327.64M","0.12%"
"2014- 07- 09","2,000.50","1,997.57","2,000.89","1,992.42","272.75M","-0.31%"
"2014- 07- 08","2,006.66","2,003.55","2,009.22","1,997.87","259.36M","0.08%"
"2014- 07- 07","2,005.12","2,007.53","2,009.32","1,998.03","228.34M","-0.23%"
"2014- 07- 04","2,009.66","2,018.35","2,018.35","2,005.84","241.51M","-0.07%"
"2014- 07- 03","2,010.97","2,015.99","2,015.99","2,007.86","259.91M","-0.21%"
"2014- 07- 02","2,015.28","2,008.00","2,016.36","2,002.40","318.42M","0.81%"
"2014- 07- 01","1,999.00","1,993.29","1,999.00","1,987.89","238.87M","-0.16%"
"2014- 06- 30","2,002.21","1,996.13","2,002.21","1,992.65","201.13M","0.69%"
"2014- 06- 27","1,988.51","1,990.90","1,997.01","1,983.88","218.84M","-0.33%"
"2014- 06- 26","1,995.05","1,983.00","1,997.08","1,982.48","273.51M","0.67%"
"2014- 06- 25","1,981.77","1,992.69","1,993.60","1,980.78","336.65M","-0.63%"
"2014- 06- 24","1,994.35","1,976.24","1,998.31","1,976.24","250.60M","0.98%"
"2014- 06- 23","1,974.92","1,975.10","1,980.31","1,971.61","231.74M","0.35%"
"2014- 06- 20","1,968.07","1,990.71","1,990.73","1,965.12","232.66M","-1.20%"
"2014- 06- 19","1,992.03","1,994.23","1,999.11","1,985.89","257.89M","0.13%"
"2014- 06- 18","1,989.49","2,002.26","2,002.26","1,987.03","216.85M","-0.60%"
"2014- 06- 17","2,001.55","1,994.89","2,002.96","1,991.53","236.60M","0.40%"
"2014- 06- 16","1,993.59","1,986.86","1,995.86","1,985.30","233.60M","0.14%"
"2014- 06- 13","1,990.85","2,005.55","2,005.55","1,984.04","223.11M","-1.03%"
"2014- 06- 12","2,011.65","2,013.60","2,015.80","2,003.57","251.88M","-0.15%"
"2014- 06- 11","2,014.67","2,009.51","2,016.78","2,006.73","238.05M","0.14%"
"2014- 06- 10","2,011.80","2,000.89","2,011.87","1,996.21","234.93M","1.09%"
"2014- 06- 09","1,990.04","2,004.73","2,008.86","1,986.53","209.61M","-0.27%"
"2014- 06- 05","1,995.48","2,007.20","2,007.20","1,986.95","222.09M","-0.65%"
"2014- 06- 03","2,008.56","2,006.31","2,008.56","1,990.72","266.74M","0.33%"
"2014- 06- 02","2,002.00","1,998.81","2,006.93","1,995.69","265.59M","0.35%"
"2014- 05- 30","1,994.96","2,015.37","2,019.17","1,994.96","247.32M","-0.86%"
"2014- 05- 29","2,012.26","2,020.67","2,021.96","2,009.23","228.54M","-0.24%"
"2014- 05- 28","2,017.06","2,000.26","2,017.06","1,997.89","210.65M","0.97%"
"2014- 05- 27","1,997.63","2,014.87","2,016.73","1,988.44","221.79M","-0.63%"
