episode_id,equity_peak_date,equity_trough_date,equity_mdd,weight,portfolio_peak_date,portfolio_trough_date,portfolio_mdd,recovered,recovery_days,pair,rebalance_freq
8,2020-02-19,2020-03-23,-0.33925388545577106,1.0,2020-02-19,2020-03-23,-0.33925388545577106,True,148.0,sp500,annual
8,2020-02-19,2020-03-23,-0.33925388545577106,0.8,2020-02-19,2020-03-23,-0.25628336842882893,True,134.0,sp500,annual
8,2020-02-19,2020-03-23,-0.33925388545577106,0.6,2020-02-19,2020-03-23,-0.17302767830006593,True,109.0,sp500,annual
8,2020-02-19,2020-03-23,-0.33925388545577106,0.4,2020-02-19,2020-03-18,-0.09554906722561196,True,42.0,sp500,annual
8,2020-02-19,2020-03-23,-0.33925388545577106,0.2,2020-02-19,2020-03-18,-0.029695573145658294,True,8.0,sp500,annual
8,2020-02-19,2020-03-23,-0.33925388545577106,0.0,2020-02-19,2020-02-19,0.0,True,0.0,sp500,annual
9,2022-01-03,2022-10-12,-0.25358823019648213,1.0,2022-01-03,2022-10-12,-0.25358823019648213,True,464.0,sp500,annual
9,2022-01-03,2022-10-12,-0.25358823019648213,0.8,2022-01-03,2022-10-14,-0.23582934063230665,True,476.0,sp500,annual
9,2022-01-03,2022-10-12,-0.25358823019648213,0.6,2022-01-03,2022-10-14,-0.21932725920612606,True,525.0,sp500,annual
9,2022-01-03,2022-10-12,-0.25358823019648213,0.4,2022-01-03,2022-10-20,-0.2039975236403071,True,665.0,sp500,annual
9,2022-01-03,2022-10-12,-0.25358823019648213,0.2,2022-01-03,2022-10-20,-0.19361739709363124,True,1050.0,sp500,annual
9,2022-01-03,2022-10-12,-0.25358823019648213,0.0,2022-01-03,2023-10-19,-0.2018735293259334,False,,sp500,annual
10,2025-02-19,2025-04-08,-0.189118519631579,1.0,2025-02-19,2025-04-08,-0.189118519631579,True,80.0,sp500,annual
10,2025-02-19,2025-04-08,-0.189118519631579,0.8,2025-02-19,2025-04-08,-0.1475252545872615,True,79.0,sp500,annual
10,2025-02-19,2025-04-08,-0.189118519631579,0.6,2025-02-19,2025-04-08,-0.1053091642181132,True,65.0,sp500,annual
10,2025-02-19,2025-04-08,-0.189118519631579,0.4,2025-02-19,2025-04-08,-0.06245615353942957,True,57.0,sp500,annual
10,2025-02-19,2025-04-08,-0.189118519631579,0.2,2025-02-19,2025-04-21,-0.020053252984408743,True,4.0,sp500,annual
10,2025-02-19,2025-04-08,-0.189118519631579,0.0,2025-02-19,2025-02-19,0.0,True,0.0,sp500,annual
0,1997-10-07,1997-10-27,-0.10793327999216507,1.0,1997-10-07,1997-10-27,-0.10793327999216507,True,39.0,sp500,none
0,1997-10-07,1997-10-27,-0.10793327999216507,0.8,1997-10-07,1997-10-27,-0.09031304779117999,True,39.0,sp500,none
0,1997-10-07,1997-10-27,-0.10793327999216507,0.6,1997-10-07,1997-10-27,-0.07018472354891869,True,37.0,sp500,none
0,1997-10-07,1997-10-27,-0.10793327999216507,0.4,1997-10-07,1997-10-27,-0.046971765581980685,True,35.0,sp500,none
0,1997-10-07,1997-10-27,-0.10793327999216507,0.2,1997-10-07,1997-10-17,-0.02203038158536541,True,33.0,sp500,none
