weight,n_removed,orig_cagr_pct,mod_cagr_pct,diff_pp,pair
0.6,30,9.900974743761303,3.881644641677817,-6.019330102083487,kospi
0.4,0,8.61086688559627,8.61086688559627,0.0,kospi
0.4,5,8.61086688559627,6.9007108021723385,-1.7101560834239304,kospi
0.4,10,8.61086688559627,6.119680714109665,-2.4911861714866035,kospi
0.4,15,8.61086688559627,5.461372292789735,-3.1494945928065343,kospi
0.4,20,8.61086688559627,4.8925981069104285,-3.7182687786858404,kospi
0.4,25,8.61086688559627,4.369861215718984,-4.241005669877285,kospi
0.4,30,8.61086688559627,3.88102476048775,-4.729842125108519,kospi
0.2,0,6.934345848376067,6.934345848376067,0.0,kospi
0.2,5,6.934345848376067,5.161505705921199,-1.7728401424548679,kospi
0.2,10,6.934345848376067,4.640763510792123,-2.2935823375839437,kospi
0.2,15,6.934345848376067,4.175382607435574,-2.758963240940493,kospi
0.2,20,6.934345848376067,3.7734862604452024,-3.1608595879308643,kospi
0.2,25,6.934345848376067,3.390044845664808,-3.5443010027112587,kospi
0.2,30,6.934345848376067,3.048782407862638,-3.8855634405134287,kospi
0.0,0,4.8286018136870945,4.8286018136870945,0.0,kospi
0.0,5,4.8286018136870945,2.756009369914336,-2.0725924437727583,kospi
0.0,10,4.8286018136870945,2.179326320264807,-2.6492754934222873,kospi
0.0,15,4.8286018136870945,1.6808981186957173,-3.1477036949913773,kospi
0.0,20,4.8286018136870945,1.2883863842773513,-3.540215429409743,kospi
0.0,25,4.8286018136870945,0.9301727643382662,-3.8984290493488283,kospi
0.0,30,4.8286018136870945,0.6072845318170206,-4.221317281870074,kospi
